epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.7728,1.72,4.5353,2.00,0.099984
2,4.4736,2.30,4.3359,2.95,0.099937
3,4.1159,5.56,3.9255,7.59,0.099858
4,3.8210,9.59,3.6033,13.58,0.099748
5,3.4993,15.15,3.4332,16.42,0.099606
6,3.1412,21.69,3.0125,24.26,0.099433
7,2.7783,28.77,2.9248,27.15,0.099228
8,2.4795,35.03,2.6831,33.36,0.098993
9,2.2310,40.28,2.3503,38.38,0.098726
10,2.0331,44.51,2.1831,41.40,0.098429
11,1.8800,48.08,2.2194,42.79,0.098101
12,1.7686,50.92,1.9115,48.92,0.097743
13,1.6740,53.16,1.8227,50.06,0.097355
14,1.5937,55.34,2.0240,46.24,0.096937
15,1.5318,56.68,1.8740,49.68,0.096489
16,1.4781,58.09,1.8940,50.48,0.096012
17,1.4434,58.87,1.8192,50.38,0.095505
18,1.3990,59.87,1.9477,50.39,0.094970
19,1.3642,61.13,1.6436,54.72,0.094407
20,1.3265,61.90,1.7700,53.12,0.093815
21,1.3041,62.32,1.7090,54.40,0.093196
22,1.2756,63.23,1.8743,51.79,0.092550
23,1.2520,63.94,1.6375,55.09,0.091876
24,1.2351,64.41,1.5916,56.40,0.091177
25,1.2153,64.87,1.7500,53.33,0.090451
26,1.1935,65.19,1.6540,55.85,0.089700
27,1.1684,66.01,1.7555,53.99,0.088923
28,1.1612,66.06,1.6503,55.35,0.088122
29,1.1330,66.94,1.6533,56.75,0.087297
30,1.1176,67.11,1.5342,58.26,0.086448
31,1.1075,67.69,1.5670,58.15,0.085577
32,1.0984,67.94,1.6564,56.21,0.084683
33,1.0709,68.58,1.4577,59.78,0.083767
34,1.0632,68.85,1.5957,57.35,0.082829
35,1.0493,68.98,1.5422,58.71,0.081871
36,1.0403,69.55,1.7512,55.67,0.080893
37,1.0234,69.71,1.4763,60.74,0.079895
38,1.0099,70.03,1.6149,57.45,0.078879
39,0.9983,70.43,1.6036,57.44,0.077844
40,0.9858,70.69,1.4799,60.57,0.076791
41,0.9748,71.05,1.5325,58.56,0.075722
42,0.9607,71.53,1.5541,59.14,0.074636
43,0.9461,71.87,1.7246,56.35,0.073535
44,0.9326,72.31,1.6555,57.67,0.072419
45,0.9278,72.43,1.4572,61.06,0.071289
46,0.9131,72.75,1.4566,61.42,0.070145
47,0.8922,73.19,1.4663,60.96,0.068989
48,0.8858,73.46,1.4661,61.07,0.067821
49,0.8745,73.95,1.3506,62.70,0.066641
50,0.8591,74.32,1.4523,61.28,0.065451
51,0.8442,74.52,1.4160,62.24,0.064251
52,0.8326,75.01,1.4167,62.75,0.063042
53,0.8197,75.33,1.4673,62.34,0.061825
54,0.8136,75.53,1.4161,62.07,0.060600
55,0.7939,75.99,1.3886,62.73,0.059369
56,0.7734,76.85,1.6005,60.12,0.058132
57,0.7684,76.73,1.4444,62.08,0.056890
58,0.7472,77.25,1.4153,62.65,0.055643
59,0.7354,77.70,1.4382,62.17,0.054393
60,0.7257,77.72,1.3415,64.94,0.053140
61,0.7098,78.24,1.3533,64.77,0.051885
62,0.6968,78.81,1.3964,64.12,0.050628
63,0.6882,79.07,1.2834,65.18,0.049372
64,0.6689,79.58,1.3355,64.93,0.048115
65,0.6484,80.02,1.4240,62.94,0.046860
66,0.6347,80.53,1.3298,64.87,0.045607
67,0.6268,80.65,1.3563,64.68,0.044357
68,0.6050,81.25,1.4415,63.54,0.043110
69,0.5879,81.82,1.4992,62.79,0.041868
70,0.5757,82.21,1.2772,66.78,0.040631
71,0.5676,82.48,1.3488,65.50,0.039400
72,0.5321,83.63,1.3147,66.25,0.038175
73,0.5201,83.63,1.3560,65.29,0.036958
74,0.5162,83.72,1.2934,66.70,0.035749
75,0.4858,84.83,1.3273,66.63,0.034549
76,0.4664,85.41,1.2600,68.44,0.033359
77,0.4644,85.37,1.2205,68.34,0.032179
78,0.4342,86.41,1.2707,68.30,0.031011
79,0.4106,87.11,1.3074,67.19,0.029855
80,0.4001,87.40,1.3313,66.64,0.028711
81,0.3814,87.81,1.2088,69.37,0.027581
82,0.3604,88.53,1.2504,69.62,0.026465
83,0.3384,89.42,1.2569,68.89,0.025364
84,0.3287,89.69,1.2373,70.20,0.024278
85,0.3082,90.22,1.3068,69.00,0.023209
86,0.2845,91.13,1.2184,70.32,0.022156
87,0.2622,91.76,1.2541,70.14,0.021121
88,0.2479,92.14,1.2417,70.59,0.020105
89,0.2375,92.55,1.2512,70.90,0.019107
90,0.2106,93.47,1.1677,72.30,0.018129
91,0.1856,94.28,1.2418,70.89,0.017171
