epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.1356,7.57,3.7065,12.82,0.099984
2,3.3913,17.66,3.1539,22.50,0.099937
3,2.8450,27.88,2.8277,29.61,0.099858
4,2.3663,37.30,2.3570,38.49,0.099748
5,2.0536,43.94,2.1812,42.44,0.099606
6,1.8437,48.94,2.3693,40.31,0.099433
7,1.7082,52.34,1.7996,50.55,0.099228
8,1.5960,55.19,1.9422,47.25,0.098993
9,1.5267,56.55,1.7850,51.05,0.098726
10,1.4633,58.17,1.7688,52.40,0.098429
11,1.4064,59.86,1.8742,51.10,0.098101
12,1.3658,60.92,1.7484,53.03,0.097743
13,1.3380,61.70,1.6130,55.64,0.097355
14,1.2960,62.93,1.7892,53.44,0.096937
15,1.2616,63.71,2.1043,48.61,0.096489
16,1.2452,64.02,1.5916,55.95,0.096012
17,1.2061,65.02,1.8828,51.48,0.095505
18,1.1899,65.38,1.6526,55.61,0.094970
19,1.1643,66.06,1.8004,52.44,0.094407
20,1.1516,66.36,1.7027,54.39,0.093815
21,1.1281,67.13,1.4886,58.85,0.093196
22,1.1182,67.28,1.4364,59.79,0.092550
23,1.0949,67.86,1.6210,56.51,0.091876
24,1.0899,68.17,1.8898,51.55,0.091177
25,1.0652,68.77,1.5261,58.35,0.090451
26,1.0567,69.08,1.6035,57.15,0.089700
27,1.0432,69.29,1.6300,56.36,0.088923
28,1.0279,69.92,1.5463,57.86,0.088122
29,1.0164,70.03,1.4657,60.22,0.087297
30,1.0095,70.21,1.5519,59.09,0.086448
31,0.9983,70.44,1.8852,51.08,0.085577
32,0.9809,70.80,1.5459,58.90,0.084683
33,0.9720,71.21,1.5821,57.84,0.083767
34,0.9571,71.70,1.6030,57.61,0.082829
35,0.9433,72.03,1.5056,58.82,0.081871
36,0.9325,72.24,1.5900,57.45,0.080893
37,0.9225,72.59,1.5575,59.38,0.079895
38,0.9135,72.71,1.5717,58.32,0.078879
39,0.9005,73.12,1.4646,61.12,0.077844
40,0.8887,73.75,1.5618,59.28,0.076791
41,0.8769,74.01,1.4388,61.27,0.075722
42,0.8716,74.08,1.5684,59.55,0.074636
43,0.8541,74.75,1.5374,59.46,0.073535
44,0.8473,74.76,1.4668,60.56,0.072419
45,0.8347,74.79,1.5048,60.23,0.071289
46,0.8187,75.55,1.4753,61.06,0.070145
47,0.8047,75.81,1.4439,62.04,0.068989
48,0.7982,75.93,1.3803,62.44,0.067821
49,0.7834,76.40,1.4225,62.05,0.066641
50,0.7700,76.91,1.3892,63.07,0.065451
51,0.7544,77.23,1.4394,61.75,0.064251
