epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.5314,2.58,4.1926,5.54,0.099984
2,3.9632,7.17,3.7266,11.13,0.099937
3,3.5945,13.25,3.3748,17.84,0.099858
4,3.1686,21.39,3.0597,24.35,0.099748
5,2.7267,29.45,2.7090,30.32,0.099606
6,2.3831,36.80,2.3540,38.06,0.099433
7,2.1062,42.65,2.1435,42.98,0.099228
8,1.9069,47.22,2.1789,41.74,0.098993
9,1.7637,50.91,1.9377,47.27,0.098726
10,1.6713,53.07,1.9914,47.48,0.098429
11,1.5947,55.02,1.9526,46.37,0.098101
12,1.5359,56.31,1.8611,49.48,0.097743
13,1.4894,57.62,1.7884,52.31,0.097355
14,1.4412,58.93,1.8579,50.63,0.096937
15,1.4023,59.90,1.7605,52.89,0.096489
16,1.3644,60.86,1.6388,55.47,0.096012
17,1.3305,61.74,1.7430,52.78,0.095505
18,1.2995,62.56,1.9226,51.34,0.094970
19,1.2820,62.92,1.7596,53.79,0.094407
20,1.2487,63.88,1.6855,54.57,0.093815
21,1.2254,64.19,1.5091,58.74,0.093196
22,1.2037,64.80,1.6379,55.14,0.092550
23,1.1835,65.54,1.6210,55.91,0.091876
24,1.1662,65.88,1.5250,58.71,0.091177
25,1.1450,66.48,1.5752,56.96,0.090451
26,1.1346,67.14,1.6349,56.36,0.089700
27,1.1149,67.40,1.5329,58.30,0.088923
28,1.0987,67.88,1.5058,59.10,0.088122
29,1.0897,68.09,1.5732,58.58,0.087297
30,1.0697,68.76,1.7902,53.93,0.086448
31,1.0640,68.64,1.6537,55.90,0.085577
32,1.0486,69.06,1.6019,56.81,0.084683
33,1.0294,69.50,1.6070,58.53,0.083767
34,1.0245,69.68,1.5292,59.27,0.082829
35,1.0082,70.18,1.4662,59.95,0.081871
36,1.0022,70.27,1.4325,61.16,0.080893
37,0.9865,70.80,1.3574,62.10,0.079895
38,0.9693,71.22,1.6396,56.73,0.078879
39,0.9545,71.61,1.5084,59.87,0.077844
40,0.9457,71.92,1.5308,59.59,0.076791
41,0.9306,72.48,1.4664,60.72,0.075722
42,0.9165,72.56,1.4095,61.57,0.074636
43,0.9096,73.07,1.5244,59.51,0.073535
44,0.8929,73.47,1.6100,58.48,0.072419
45,0.8863,73.44,1.4062,62.07,0.071289
46,0.8787,73.83,1.4272,61.77,0.070145
47,0.8593,74.21,1.3431,63.08,0.068989
48,0.8432,74.59,1.4258,62.24,0.067821
49,0.8282,75.18,1.4583,62.20,0.066641
50,0.8239,75.30,1.3976,62.30,0.065451
51,0.8121,75.65,1.3991,63.06,0.064251
52,0.7925,76.09,1.3866,62.96,0.063042
53,0.7757,76.60,1.4248,61.68,0.061825
54,0.7745,76.57,1.2732,65.91,0.060600
55,0.7479,77.38,1.2920,64.69,0.059369
56,0.7371,77.68,1.3217,64.24,0.058132
57,0.7228,77.95,1.4692,62.23,0.056890
58,0.7139,78.25,1.2312,66.33,0.055643
59,0.6982,78.73,1.3786,63.68,0.054393
60,0.6881,78.83,1.2881,65.38,0.053140
61,0.6662,79.55,1.2767,65.36,0.051885
62,0.6518,79.84,1.2816,65.51,0.050628
63,0.6383,80.19,1.1556,68.56,0.049372
64,0.6118,80.97,1.2498,66.75,0.048115
65,0.6075,81.20,1.3665,64.56,0.046860
66,0.5820,81.91,1.2916,66.37,0.045607
67,0.5757,82.22,1.3664,65.33,0.044357
68,0.5635,82.45,1.3432,64.65,0.043110
69,0.5404,83.29,1.1501,68.54,0.041868
70,0.5224,83.83,1.1707,69.07,0.040631
71,0.5031,84.35,1.2481,67.46,0.039400
72,0.4821,85.08,1.3083,66.45,0.038175
73,0.4720,85.29,1.2896,67.02,0.036958
74,0.4483,85.90,1.2051,68.64,0.035749
75,0.4289,86.64,1.2178,68.34,0.034549
76,0.4103,87.27,1.2824,68.07,0.033359
77,0.3948,87.71,1.2712,66.91,0.032179
78,0.3779,88.28,1.2380,68.76,0.031011
79,0.3632,88.63,1.1173,70.98,0.029855
80,0.3281,89.82,1.2313,69.12,0.028711
81,0.3244,89.85,1.2090,69.68,0.027581
82,0.3069,90.45,1.1724,70.52,0.026465
83,0.2836,91.30,1.1707,70.72,0.025364
84,0.2615,91.96,1.1192,71.88,0.024278
85,0.2411,92.64,1.1094,71.89,0.023209
86,0.2236,93.21,1.1032,71.88,0.022156
87,0.2045,93.80,1.1158,72.44,0.021121
88,0.1908,94.39,1.0626,73.27,0.020105
89,0.1703,95.03,1.0631,73.82,0.019107
90,0.1391,96.04,1.0534,73.62,0.018129
91,0.1279,96.43,1.0643,73.66,0.017171
92,0.1091,97.06,1.0849,73.36,0.016233
93,0.1040,97.20,1.0489,74.23,0.015317
94,0.0891,97.77,1.0196,75.48,0.014423
95,0.0756,98.07,0.9859,75.92,0.013552
96,0.0643,98.53,0.9992,75.83,0.012703
97,0.0525,98.86,0.9401,76.89,0.011878
98,0.0441,99.14,0.9187,77.43,0.011077
99,0.0352,99.39,0.8961,77.88,0.010300
100,0.0299,99.46,0.8922,78.04,0.009549
101,0.0234,99.69,0.8750,78.69,0.008823
102,0.0221,99.71,0.8893,78.28,0.008124
103,0.0184,99.79,0.8519,78.91,0.007450
104,0.0164,99.85,0.8372,78.97,0.006804
105,0.0144,99.89,0.8422,79.23,0.006185
106,0.0141,99.87,0.8351,79.51,0.005593
107,0.0125,99.91,0.8299,79.45,0.005030
108,0.0115,99.91,0.8240,79.52,0.004495
109,0.0115,99.91,0.8251,79.50,0.003988
110,0.0112,99.92,0.8182,79.90,0.003511
111,0.0101,99.94,0.8116,79.73,0.003063
112,0.0099,99.92,0.8176,79.84,0.002645
113,0.0096,99.95,0.8088,79.95,0.002257
114,0.0097,99.94,0.8092,79.95,0.001899
115,0.0093,99.95,0.8085,79.72,0.001571
116,0.0091,99.95,0.8061,79.93,0.001274
117,0.0090,99.94,0.8043,80.09,0.001007
118,0.0087,99.95,0.8047,79.81,0.000772
119,0.0085,99.96,0.8040,79.97,0.000567
120,0.0085,99.96,0.7992,80.09,0.000394
121,0.0085,99.96,0.7996,80.08,0.000252
122,0.0085,99.96,0.8008,80.04,0.000142
123,0.0083,99.96,0.8008,80.06,0.000063
124,0.0084,99.96,0.8003,79.98,0.000016
125,0.0083,99.96,0.8021,79.84,0.000000
