epoch,train_loss,train_acc,test_loss,test_acc,lr
1,4.6337,1.89,4.3730,3.16,0.099984
2,4.1407,4.88,3.9556,6.54,0.099937
3,3.7937,9.67,3.6185,12.99,0.099858
4,3.4507,15.73,3.3950,17.67,0.099748
5,3.0656,23.22,3.0159,24.64,0.099606
6,2.6576,31.16,2.7068,30.86,0.099433
7,2.3158,38.09,2.3210,38.30,0.099228
8,2.0874,43.16,2.2453,42.36,0.098993
9,1.9235,47.12,2.1737,42.41,0.098726
10,1.8100,49.89,1.9237,48.05,0.098429
11,1.7026,52.38,2.0987,44.79,0.098101
12,1.6294,54.12,2.1075,46.21,0.097743
13,1.5612,55.91,2.0967,45.77,0.097355
14,1.5014,57.58,2.2212,43.73,0.096937
15,1.4446,59.10,1.8439,50.63,0.096489
16,1.4048,60.02,1.6141,55.98,0.096012
17,1.3634,60.93,1.8613,51.05,0.095505
18,1.3250,61.94,1.7890,52.38,0.094970
19,1.3045,62.38,1.9290,50.36,0.094407
20,1.2718,63.37,1.6629,53.94,0.093815
21,1.2420,64.29,1.7363,54.43,0.093196
22,1.2218,64.66,1.7379,53.27,0.092550
23,1.1971,65.12,1.9046,51.74,0.091876
24,1.1798,66.07,1.7227,55.08,0.091177
25,1.1631,66.44,1.6922,55.91,0.090451
26,1.1482,66.61,1.5629,57.59,0.089700
27,1.1282,67.20,1.7245,54.66,0.088923
28,1.1138,67.43,1.5536,58.42,0.088122
29,1.0900,68.05,1.8498,52.95,0.087297
30,1.0802,68.34,1.9369,52.94,0.086448
31,1.0657,68.70,1.6276,56.58,0.085577
32,1.0472,69.32,1.9176,52.68,0.084683
33,1.0407,69.54,1.7969,53.00,0.083767
34,1.0312,69.41,1.5804,57.63,0.082829
35,1.0126,70.31,1.6926,56.60,0.081871
36,1.0006,70.46,1.5277,58.98,0.080893
37,0.9882,70.81,1.7910,54.84,0.079895
38,0.9721,71.41,1.4282,60.95,0.078879
39,0.9670,71.50,1.5463,58.78,0.077844
40,0.9508,71.94,1.4964,59.38,0.076791
41,0.9416,72.14,1.4345,61.61,0.075722
42,0.9307,72.53,1.4981,61.01,0.074636
43,0.9190,72.67,1.4856,59.32,0.073535
44,0.8987,73.23,1.5448,59.95,0.072419
45,0.8993,73.45,1.3972,62.21,0.071289
46,0.8782,73.74,1.5917,59.08,0.070145
47,0.8681,74.18,1.5147,59.84,0.068989
48,0.8598,74.37,1.4249,60.81,0.067821
49,0.8455,74.57,1.4355,61.69,0.066641
50,0.8350,74.91,1.5643,59.50,0.065451
51,0.8243,75.14,1.4880,61.14,0.064251
52,0.8088,75.61,1.4775,62.01,0.063042
53,0.7938,75.85,1.4438,62.30,0.061825
54,0.7788,76.69,1.4109,63.00,0.060600
55,0.7670,76.87,1.4351,62.20,0.059369
56,0.7488,77.36,1.3787,64.07,0.058132
57,0.7415,77.67,1.2839,65.14,0.056890
58,0.7221,78.31,1.3275,64.89,0.055643
59,0.7168,78.33,1.4711,62.68,0.054393
60,0.6957,78.81,1.3407,64.44,0.053140
61,0.6924,79.17,1.2856,65.81,0.051885
62,0.6762,79.37,1.4623,62.25,0.050628
63,0.6645,79.68,1.3442,65.11,0.049372
64,0.6425,80.39,1.2160,67.06,0.048115
65,0.6369,80.66,1.2876,66.38,0.046860
66,0.6149,81.04,1.4155,63.53,0.045607
67,0.5950,81.65,1.3185,65.48,0.044357
68,0.5846,81.90,1.2312,67.18,0.043110
69,0.5626,82.71,1.2610,66.81,0.041868
70,0.5542,82.87,1.3313,65.62,0.040631
71,0.5340,83.63,1.2595,67.44,0.039400
72,0.5244,83.77,1.3139,66.36,0.038175
73,0.5017,84.43,1.2887,66.60,0.036958
74,0.4835,84.87,1.3136,66.88,0.035749
75,0.4713,85.28,1.3154,66.84,0.034549
76,0.4580,85.84,1.3344,66.69,0.033359
77,0.4332,86.47,1.3179,67.04,0.032179
78,0.4142,87.00,1.2287,69.40,0.031011
79,0.4021,87.25,1.2320,69.05,0.029855
80,0.3876,87.81,1.3331,67.90,0.028711
81,0.3699,88.44,1.2781,68.72,0.027581
82,0.3395,89.27,1.2354,69.50,0.026465
83,0.3342,89.39,1.2036,70.73,0.025364
84,0.3139,89.99,1.3097,69.06,0.024278
85,0.2974,90.66,1.3106,68.59,0.023209
86,0.2729,91.27,1.2679,70.62,0.022156
87,0.2521,92.08,1.2110,71.43,0.021121
88,0.2417,92.23,1.2580,70.94,0.020105
89,0.2282,92.74,1.1769,71.97,0.019107
90,0.1992,93.79,1.3042,70.01,0.018129
91,0.1821,94.32,1.2471,71.37,0.017171
92,0.1741,94.71,1.1389,73.44,0.016233
93,0.1517,95.35,1.1094,73.99,0.015317
94,0.1431,95.62,1.2030,72.73,0.014423
95,0.1205,96.38,1.1673,73.74,0.013552
96,0.1092,96.76,1.1512,74.25,0.012703
97,0.0912,97.37,1.1283,74.99,0.011878
98,0.0844,97.47,1.1564,74.55,0.011077
99,0.0698,98.01,1.1048,75.26,0.010300
100,0.0524,98.62,1.1037,76.05,0.009549
101,0.0409,98.97,1.0925,76.05,0.008823
102,0.0341,99.18,1.0549,76.89,0.008124
103,0.0268,99.44,1.0610,77.50,0.007450
104,0.0240,99.49,1.0023,78.09,0.006804
105,0.0161,99.73,1.0167,78.30,0.006185
106,0.0148,99.74,1.0072,78.12,0.005593
107,0.0118,99.80,0.9711,78.91,0.005030
108,0.0116,99.80,0.9843,78.34,0.004495
109,0.0091,99.88,0.9733,78.67,0.003988
110,0.0085,99.87,0.9632,78.72,0.003511
111,0.0076,99.91,0.9642,78.84,0.003063
112,0.0071,99.93,0.9533,79.25,0.002645
113,0.0066,99.93,0.9495,78.95,0.002257
114,0.0066,99.93,0.9484,79.21,0.001899
115,0.0064,99.92,0.9406,79.29,0.001571
116,0.0064,99.93,0.9395,79.40,0.001274
117,0.0057,99.96,0.9383,79.36,0.001007
118,0.0059,99.94,0.9373,79.33,0.000772
119,0.0056,99.94,0.9336,79.41,0.000567
120,0.0057,99.95,0.9381,79.31,0.000394
121,0.0054,99.96,0.9366,79.32,0.000252
122,0.0055,99.95,0.9326,79.33,0.000142
123,0.0056,99.95,0.9314,79.35,0.000063
124,0.0054,99.96,0.9292,79.42,0.000016
125,0.0051,99.97,0.9358,79.41,0.000000
